iter	RMSE
0	4770.858335
1	4553.256862
2	4367.060511
3	4208.864182
4	4073.299
5	3955.251574
6	3849.454683
7	3759.460336
8	3681.234432
9	3611.249791
10	3542.403118
11	3490.465754
12	3440.543064
13	3392.503936
14	3355.120449
15	3307.192138
16	3267.827451
17	3234.556565
18	3204.580097
19	3180.086555
20	3157.844771
21	3132.604663
22	3113.333015
23	3097.212341
24	3078.415897
25	3062.796972
26	3048.801455
27	3035.975953
28	3024.308141
29	3013.197379
30	3002.073639
31	2993.061545
32	2984.296632
33	2975.474976
34	2967.560007
35	2960.4958
36	2953.410635
37	2946.754662
38	2941.310903
39	2935.750998
40	2930.468303
41	2925.12465
42	2920.645695
43	2916.251608
44	2910.583893
45	2906.984558
46	2903.222156
47	2899.662097
48	2896.44623
49	2893.181076
50	2890.1753
51	2887.535821
52	2883.317106
53	2880.941555
54	2878.608207
55	2876.570488
56	2872.784431
57	2870.067184
58	2868.14838
59	2866.113561
60	2864.168704
61	2861.887189
62	2859.588894
63	2857.637108
64	2856.053824
65	2854.561566
66	2852.547312
67	2851.230403
68	2849.745084
69	2847.595611
70	2846.101554
71	2844.44923
72	2843.231327
73	2842.222256
74	2840.760431
75	2839.338225
76	2837.632098
77	2836.436388
78	2834.956091
79	2833.827359
80	2832.722681
81	2831.297206
82	2830.174394
83	2828.71629
84	2826.697305
85	2825.622065
86	2824.59214
87	2823.80066
88	2822.958125
89	2821.650893
90	2820.251233
91	2819.4677
92	2818.314633
93	2817.506594
94	2816.526758
95	2815.699157
96	2814.966421
97	2814.260843
98	2813.683002
99	2813.013474
100	2812.419787
101	2811.24441
102	2810.208627
103	2809.540401
104	2808.652626
105	2807.700427
106	2806.887167
107	2806.304041
108	2805.801938
109	2804.749903
110	2804.031506
111	2803.455845
112	2802.823293
113	2802.111648
114	2801.382613
115	2800.707247
116	2799.969333
117	2799.201296
118	2798.019893
119	2797.250334
120	2796.446531
121	2795.78183
122	2794.967755
123	2794.498734
124	2794.022528
125	2793.417779
126	2792.631908
127	2791.998655
128	2790.911219
129	2790.514288
130	2790.044734
131	2789.392948
132	2788.466091
133	2787.856345
134	2786.924633
135	2786.559286
136	2785.782875
137	2785.312091
138	2784.752107
139	2784.356179
140	2783.707326
141	2783.105697
142	2782.368818
143	2781.909503
144	2781.407399
145	2780.817447
146	2780.329443
147	2779.615307
148	2779.222635
149	2778.534984
150	2777.961369
151	2777.374301
152	2776.970569
153	2776.113694
154	2775.430929
155	2774.981173
156	2774.468395
157	2774.022952
158	2773.323807
159	2772.862084
160	2772.333088
161	2771.696867
162	2771.420707
163	2770.674668
164	2770.378994
165	2769.978795
166	2769.482002
167	2768.906053
168	2768.479418
169	2767.841433
170	2767.324822
171	2766.796522
172	2766.399491
173	2765.953114
174	2765.607492
175	2765.135319
176	2764.416759
177	2763.937632
178	2763.560087
179	2763.218845
180	2762.664187
181	2762.355858
182	2761.845222
183	2761.438218
184	2761.055938
185	2760.676944
186	2760.354183
187	2759.918629
188	2759.511593
189	2759.130487
190	2758.847408
191	2758.343402
192	2757.966911
193	2757.544548
194	2757.162783
195	2756.755282
196	2756.469499
197	2755.930438
198	2755.365628
199	2754.892116
200	2754.310119
201	2753.933931
202	2753.610535
203	2753.225853
204	2752.826845
205	2752.341024
206	2752.049624
207	2751.630357
208	2750.96486
209	2750.495558
210	2749.899044
211	2749.085916
212	2748.672957
213	2748.255461
214	2747.732746
215	2747.233027
216	2746.74336
217	2746.52278
218	2746.173649
219	2745.731091
220	2745.425027
221	2744.951063
222	2744.704293
223	2744.247053
224	2743.693573
225	2743.195709
226	2742.807683
227	2742.423811
228	2742.145141
229	2741.81443
230	2741.384905
231	2741.126381
232	2740.77431
233	2740.393733
234	2740.166588
235	2739.458427
236	2739.166427
237	2738.811014
238	2738.565172
239	2738.271433
240	2737.91764
241	2737.735865
242	2737.267157
243	2737.025554
244	2736.735961
245	2736.457135
246	2735.840431
247	2735.630984
248	2735.368744
249	2735.030009
250	2734.610577
251	2734.288386
252	2733.833617
253	2733.528041
254	2733.185132
255	2732.910547
256	2732.529815
257	2732.066942
258	2731.49751
259	2731.125691
260	2730.91486
261	2730.28291
262	2729.75882
263	2729.611803
264	2729.209828
265	2728.84818
266	2728.538426
267	2728.225399
268	2727.627178
269	2727.188492
270	2726.859528
271	2726.364578
272	2726.067659
273	2725.559843
274	2725.389667
275	2725.030296
276	2724.668905
277	2724.254972
278	2724.001099
279	2723.685764
280	2723.229866
281	2722.878769
282	2722.453084
283	2722.210333
284	2721.840594
285	2721.589385
286	2721.363066
287	2720.999311
288	2720.818173
289	2720.655837
290	2720.427575
291	2720.124554
292	2719.842884
293	2719.368475
294	2719.040128
295	2718.516076
296	2717.993451
297	2717.776735
298	2717.616766
299	2717.367722
