iter	Passed	Remaining
0	192	57518
1	221	33016
2	240	23802
3	256	19007
4	272	16061
5	287	14100
6	304	12730
7	318	11632
8	334	10805
9	350	10168
10	367	9660
11	383	9211
12	400	8838
13	417	8538
14	433	8231
15	449	7970
16	463	7718
17	478	7503
18	496	7340
19	517	7238
20	532	7079
21	553	6999
22	571	6880
23	590	6786
24	616	6778
25	633	6679
26	650	6572
27	666	6478
28	682	6375
29	696	6265
30	713	6194
31	729	6109
32	746	6036
33	764	5981
34	780	5909
35	793	5821
36	811	5771
37	828	5709
38	842	5638
39	856	5566
40	870	5499
41	885	5440
42	899	5373
43	916	5329
44	934	5297
45	956	5281
46	986	5308
47	1007	5291
48	1022	5238
49	1037	5189
50	1052	5141
51	1067	5091
52	1086	5061
53	1101	5016
54	1115	4968
55	1130	4926
56	1149	4902
57	1169	4880
58	1184	4837
59	1199	4798
60	1215	4762
61	1230	4721
62	1247	4694
63	1263	4660
64	1277	4619
65	1291	4580
66	1308	4550
67	1322	4512
68	1339	4485
69	1357	4460
70	1372	4426
71	1388	4395
72	1402	4360
73	1417	4329
74	1433	4300
75	1450	4275
76	1465	4244
77	1481	4216
78	1500	4196
79	1514	4165
80	1530	4137
81	1546	4111
82	1562	4084
83	1579	4062
84	1596	4038
85	1614	4016
86	1628	3987
87	1645	3964
88	1660	3936
89	1676	3911
90	1694	3891
91	1709	3864
92	1725	3841
93	1743	3820
94	1760	3798
95	1776	3775
96	1791	3749
97	1806	3723
98	1821	3697
99	1836	3672
100	1851	3647
101	1867	3625
102	1883	3603
103	1901	3583
104	1918	3563
105	1935	3542
106	1951	3520
107	1967	3497
108	1983	3475
109	2000	3454
110	2014	3430
111	2029	3406
112	2043	3381
113	2058	3358
114	2074	3337
115	2091	3316
116	2106	3294
117	2124	3276
118	2141	3257
119	2158	3238
120	2176	3219
121	2195	3202
122	2212	3183
123	2228	3163
124	2243	3140
125	2258	3119
126	2276	3101
127	2292	3081
128	2309	3061
129	2323	3038
130	2339	3018
131	2355	2997
132	2371	2977
133	2386	2956
134	2403	2937
135	2418	2916
136	2435	2897
137	2450	2877
138	2467	2857
139	2482	2837
140	2498	2817
141	2515	2798
142	2531	2779
143	2548	2760
144	2562	2739
145	2578	2719
146	2593	2698
147	2611	2681
148	2624	2660
149	2641	2641
150	2656	2621
151	2672	2602
152	2687	2581
153	2704	2564
154	2721	2545
155	2738	2527
156	2754	2508
157	2770	2489
158	2786	2471
159	2803	2452
160	2818	2433
161	2834	2414
162	2849	2395
163	2865	2376
164	2881	2357
165	2895	2337
166	2911	2318
167	2928	2300
168	2945	2283
169	2960	2263
170	2976	2245
171	2991	2225
172	3005	2206
173	3021	2188
174	3036	2169
175	3052	2150
176	3070	2133
177	3085	2114
178	3100	2096
179	3115	2077
180	3132	2059
181	3147	2040
182	3163	2022
183	3180	2005
184	3196	1987
185	3213	1969
186	3228	1951
187	3243	1932
188	3259	1914
189	3276	1896
190	3291	1878
191	3308	1861
192	3324	1842
193	3340	1825
194	3355	1806
195	3370	1788
196	3386	1770
197	3404	1753
198	3421	1736
199	3439	1719
200	3458	1703
201	3474	1685
202	3489	1667
203	3506	1649
204	3521	1631
205	3538	1614
206	3554	1596
207	3569	1578
208	3585	1561
209	3601	1543
210	3617	1525
211	3633	1508
212	3649	1490
213	3666	1473
214	3682	1455
215	3698	1438
216	3715	1420
217	3729	1402
218	3748	1386
219	3765	1369
220	3782	1352
221	3799	1334
222	3814	1317
223	3830	1299
224	3848	1282
225	3868	1266
226	3884	1249
227	3899	1231
228	3915	1213
229	3930	1196
230	3946	1178
231	3960	1160
232	3975	1143
233	3991	1125
234	4008	1108
235	4026	1091
236	4041	1074
237	4056	1056
238	4072	1039
239	4087	1021
240	4104	1004
241	4119	987
242	4135	970
243	4152	952
244	4168	935
245	4182	918
246	4201	901
247	4216	884
248	4230	866
249	4247	849
250	4264	832
251	4282	815
252	4299	798
253	4316	781
254	4334	764
255	4352	748
256	4372	731
257	4391	714
258	4408	697
259	4426	680
260	4441	663
261	4460	646
262	4477	629
263	4493	612
264	4509	595
265	4526	578
266	4542	561
267	4562	544
268	4584	528
269	4602	511
270	4618	494
271	4635	477
272	4651	460
273	4670	443
274	4685	425
275	4701	408
276	4717	391
277	4734	374
278	4751	357
279	4768	340
280	4786	323
281	4803	306
282	4819	289
283	4835	272
284	4852	255
285	4871	238
286	4887	221
287	4903	204
288	4917	187
289	4931	170
290	4946	152
291	4964	136
292	4980	118
293	4997	101
294	5013	84
295	5029	67
296	5047	50
297	5062	33
298	5079	16
299	5096	0
