iter	RMSE
0	4702.016894
1	4418.919714
2	4173.631628
3	3962.786698
4	3781.840122
5	3628.387451
6	3499.388056
7	3389.702197
8	3298.094888
9	3220.740163
10	3156.052645
11	3102.1136
12	3057.69251
13	3020.57742
14	2989.326864
15	2960.847388
16	2937.084512
17	2917.329366
18	2900.232561
19	2885.673031
20	2872.431821
21	2862.549837
22	2853.365837
23	2845.496849
24	2838.793112
25	2833.512895
26	2825.532852
27	2821.095387
28	2817.540446
29	2812.237512
30	2808.288734
31	2805.001304
32	2801.985409
33	2798.982356
34	2795.918467
35	2794.143478
36	2792.269563
37	2790.3786
38	2788.651681
39	2787.678265
40	2785.328808
41	2783.569855
42	2780.730134
43	2778.183197
44	2776.790576
45	2775.299304
46	2774.028759
47	2772.976679
48	2771.300715
49	2769.636718
50	2767.926946
51	2766.726791
52	2765.699003
53	2763.481689
54	2762.089169
55	2761.188016
56	2758.993496
57	2758.041288
58	2756.114518
59	2754.945292
60	2753.817121
61	2752.640678
62	2751.604859
63	2750.978744
64	2749.620918
65	2748.575985
66	2747.114276
67	2746.22582
68	2745.373293
69	2744.012461
70	2743.262342
71	2741.280821
72	2740.176495
73	2738.93577
74	2737.749843
75	2737.03301
76	2735.91754
77	2735.521342
78	2735.011624
79	2734.694498
80	2734.349324
81	2733.116926
82	2732.227597
83	2731.861853
84	2731.22082
85	2730.555145
86	2729.792369
87	2729.298981
88	2728.641257
89	2728.020981
90	2727.045374
91	2725.607351
92	2724.55994
93	2723.684901
94	2723.024619
95	2722.142713
96	2721.415936
97	2720.71908
98	2720.48463
99	2719.901757
100	2719.106457
101	2718.534957
102	2717.742573
103	2716.778088
104	2716.455354
105	2715.927172
106	2715.635452
107	2714.907757
108	2714.10983
109	2712.529619
110	2711.349996
111	2711.030344
112	2710.471547
113	2710.105482
114	2708.876895
115	2708.22539
116	2707.487946
117	2706.522709
118	2705.78214
119	2704.742099
120	2704.286083
121	2703.750921
122	2703.429141
123	2702.939467
124	2702.228996
125	2701.723472
126	2701.483192
127	2700.919779
128	2700.418549
129	2700.223247
130	2699.820193
131	2699.35439
132	2698.421342
133	2698.039146
134	2697.474181
135	2697.145828
136	2696.357138
137	2696.149731
138	2695.204178
139	2694.598125
140	2694.164163
141	2693.781269
142	2693.059974
143	2692.349405
144	2691.723784
145	2691.261103
146	2690.419811
147	2689.952212
148	2689.142348
149	2688.786268
150	2688.378072
151	2687.867773
152	2687.454434
153	2687.093012
154	2686.532706
155	2686.050352
156	2685.76468
157	2685.383598
158	2684.807336
159	2684.452591
160	2684.135364
161	2683.628568
162	2682.925616
163	2682.734293
164	2682.117723
165	2681.728739
166	2681.450062
167	2681.006291
168	2680.686559
169	2680.380637
170	2680.268216
171	2680.156396
172	2679.605085
173	2678.557337
174	2678.249464
175	2677.767565
176	2677.335124
177	2676.407861
178	2675.978497
179	2675.750498
180	2675.272857
181	2675.010755
182	2674.852606
183	2674.644144
184	2674.231404
185	2673.980235
186	2673.668559
187	2673.522444
188	2673.006152
189	2672.452239
190	2672.234304
191	2671.635169
192	2671.39889
193	2671.272063
194	2670.492556
195	2670.164011
196	2670.016513
197	2669.868367
198	2669.38838
199	2668.8892
200	2668.521824
201	2668.418373
202	2667.664017
203	2667.090192
204	2666.555499
205	2666.418656
206	2666.130021
207	2665.798885
208	2665.389599
209	2665.147639
210	2664.723986
211	2664.611886
212	2664.501388
213	2664.291428
214	2663.929818
215	2663.680528
216	2663.272452
217	2663.072164
218	2662.924089
219	2662.72459
220	2662.598657
221	2662.101959
222	2661.822115
223	2661.372601
224	2660.730276
225	2660.515835
226	2660.419967
227	2659.603928
228	2659.485795
229	2659.082019
230	2658.691916
231	2658.242588
232	2658.01236
233	2657.596747
234	2657.071522
235	2656.540565
236	2656.195064
237	2656.161709
238	2655.940991
239	2655.701516
240	2655.549183
241	2655.122171
242	2654.637074
243	2654.578347
244	2654.414196
245	2654.019314
246	2653.507048
247	2653.074854
248	2652.916339
249	2652.686015
250	2652.580847
251	2652.113678
252	2651.850016
253	2651.717265
254	2651.257597
255	2650.877355
256	2650.722586
257	2650.438218
258	2650.269934
259	2650.114861
260	2650.028908
261	2649.70608
262	2649.035058
263	2648.618072
264	2647.994209
265	2647.734161
266	2647.453666
267	2647.450617
268	2647.139857
269	2646.718958
270	2646.290389
271	2645.886915
272	2645.673511
273	2645.484035
274	2645.289113
275	2644.850936
276	2644.543063
277	2644.112266
278	2644.047597
279	2643.80567
280	2643.578162
281	2643.381253
282	2643.094648
283	2642.824024
284	2642.608442
285	2642.13584
286	2641.980952
287	2641.771388
288	2641.229783
289	2641.101463
290	2640.722016
291	2640.677386
292	2640.434071
293	2640.229345
294	2639.669379
295	2639.406224
296	2638.834962
297	2638.601698
298	2638.046949
299	2637.857417
