iter	Passed	Remaining
0	395	118392
1	586	87354
2	783	77564
3	995	73695
4	1208	71287
5	1402	68714
6	1571	65761
7	1780	64970
8	2009	64984
9	2221	64412
10	2459	64630
11	2666	63997
12	2856	63053
13	2995	61196
14	3209	60987
15	3439	61058
16	3666	61042
17	3876	60736
18	4106	60726
19	4356	60988
20	4575	60789
21	4759	60148
22	5000	60223
23	5250	60382
24	5459	60051
25	5718	60261
26	5989	60556
27	6252	60739
28	6488	60632
29	6759	60833
30	7034	61037
31	7298	61126
32	7591	61424
33	7863	61517
34	8136	61608
35	8379	61447
36	8665	61595
37	8949	61703
38	9219	61699
39	9474	61583
40	9726	61446
41	9997	61412
42	10257	61304
43	10509	61148
44	10780	61087
45	11027	60890
46	11323	60952
47	11578	60785
48	11804	60466
49	12105	60528
50	12360	60349
51	12596	60073
52	12834	59811
53	13049	59449
54	13324	59356
55	13591	59220
56	13839	58997
57	14092	58799
58	14320	58497
59	14567	58268
60	14771	57875
61	15041	57740
62	15278	57476
63	15519	57227
64	15758	56973
65	16004	56744
66	16267	56571
67	16546	56451
68	16819	56309
69	17080	56122
70	17332	55902
71	17562	55614
72	17859	55536
73	18101	55281
74	18368	55104
75	18636	54928
76	18881	54682
77	19214	54686
78	19444	54396
79	19719	54228
80	19977	54013
81	20276	53904
82	20488	53565
83	20741	53335
84	21640	54738
85	22689	56460
86	23718	58070
87	24638	59357
88	25692	60911
89	26635	62148
90	27520	63206
91	28510	64457
92	29602	65889
93	30612	67087
94	31484	67940
95	32549	69166
96	33383	69864
97	33757	69581
98	34034	69100
99	34290	68580
100	34526	68027
101	34791	67536
102	35051	67039
103	35312	66550
104	35497	65923
105	35720	65374
106	36012	64957
107	36262	64467
108	36485	63933
109	36735	63452
110	36982	62970
111	37184	62416
112	37410	61910
113	37646	61423
114	37917	60997
115	38170	60545
116	38442	60127
117	38658	59625
118	39003	59324
119	39257	58885
120	39501	58436
121	39719	57951
122	39981	57534
123	40232	57104
124	40487	56682
125	40733	56250
126	40998	55847
127	41274	55463
128	41517	55035
129	41759	54608
130	42020	54209
131	42264	53791
132	42534	53408
133	42738	52945
134	42997	52552
135	43231	52131
136	43500	51755
137	43764	51375
138	44025	50993
139	44224	50542
140	44483	50162
141	44735	49776
142	44987	49391
143	45204	48971
144	45443	48577
145	45679	48181
146	45921	47796
147	46190	47439
148	46431	47054
149	46687	46687
150	46952	46330
151	47197	45955
152	47480	45618
153	47714	45235
154	47969	44874
155	48205	44497
156	48476	44153
157	48737	43801
158	49003	43455
159	49284	43124
160	49524	42757
161	49768	42394
162	50033	42053
163	50265	41683
164	50520	41335
165	50775	40987
166	51039	40648
167	51301	40308
168	51577	39980
169	51819	39626
170	52049	39265
171	52293	38915
172	52554	38580
173	52837	38261
174	53071	37908
175	53335	37577
176	53588	37239
177	53856	36913
178	54113	36579
179	54385	36256
180	54637	35921
181	54872	35576
182	55095	35224
183	55353	34896
184	55605	34565
185	55857	34235
186	56104	33902
187	56369	33582
188	56625	33256
189	56894	32939
190	57151	32615
191	57421	32299
192	57646	31959
193	57881	31625
194	58158	31315
195	58401	30988
196	58664	30672
197	58888	30336
198	59103	29997
199	59351	29675
200	59608	29359
201	59837	29030
202	60120	28727
203	60374	28411
204	60622	28093
205	60881	27781
206	61127	27463
207	61387	27152
208	61628	26833
209	61858	26510
210	62190	26231
211	62468	25930
212	62674	25599
213	62903	25279
214	63190	24982
215	63461	24679
216	63748	24383
217	64008	24076
218	64266	23769
219	64528	23465
220	64823	23172
221	65089	22869
222	65348	22564
223	65594	22255
224	65842	21947
225	66066	21632
226	66316	21326
227	66558	21018
228	66767	20700
229	67027	20399
230	67292	20100
231	67538	19795
232	67777	19489
233	68057	19195
234	68296	18890
235	68566	18594
236	68804	18289
237	69028	17982
238	69279	17682
239	69483	17370
240	69734	17072
241	70028	16783
242	70281	16485
243	70531	16187
244	70777	15888
245	71031	15592
246	71293	15297
247	71548	15002
248	71826	14711
249	72099	14419
250	72367	14127
251	72662	13840
252	72941	13550
253	73202	13257
254	73503	12971
255	73762	12678
256	74036	12387
257	74280	12092
258	74483	11790
259	74748	11499
260	74986	11204
261	75259	10915
262	75495	10621
263	75766	10331
264	76027	10041
265	76284	9750
266	76534	9459
267	76681	9156
268	76884	8860
269	77146	8571
270	77363	8278
271	77642	7992
272	77907	7705
273	78154	7416
274	78434	7130
275	78705	6843
276	78974	6557
277	79240	6270
278	79486	5982
279	79735	5695
280	80017	5410
281	80251	5122
282	80541	4838
283	80817	4553
284	81117	4269
285	81385	3983
286	81669	3699
287	81923	3413
288	82199	3128
289	82440	2842
290	82725	2558
291	82966	2273
292	83204	1987
293	83478	1703
294	83708	1418
295	83968	1134
296	84225	850
297	84477	566
298	84714	283
299	84974	0
